Seed,3,4,5,6,7,8,9,10
49,-1.417924242,-1.308962081,-3.250673575,-6.773149628,-6.056050814,-4.287534813,-10.4805772,-7.346818527
50,-0.9918717736,-0.9725917043,-2.514809504,-4.287382565,-3.364263212,-9.258565043,-7.114844368,-6.042434523
51,-0.1468472174,-2.884785152,-4.901137656,-4.918338835,-3.110593329,-6.437142239,-5.964552602,-7.607275846
52,-0.4671901165,-1.574470297,-3.441005397,-2.068294411,-8.673372647,-5.923272626,-9.108152971,-6.091385867
53,-1.024258409,-4.068546672,-2.660730228,-4.517582002,-3.387636783,-6.916919331,-10.90952039,-5.758801957
54,-1.329341824,-1.003571952,-2.98349784,-4.304994766,-4.468864903,-4.552081971,-6.098020445,-8.341936509
55,-3.220035239,-2.708831424,-2.419168057,-5.200531195,-2.867207578,-7.066552597,-6.075741542,-4.616348779
56,-1.588053216,-2.236912133,-3.226654744,-4.477319429,-5.257112304,-4.15017639,-6.520577911,-5.992680147
57,-2.155127942,-1.814315226,-1.00820761,-2.869013359,-5.184022416,-4.561648519,-4.678391647,-7.976219513
58,-0.1371635622,-1.164802095,-2.211886762,-3.070983597,-3.934844944,-5.458864906,-6.725000354,-5.676084357
59,-2.184822325,-2.397673081,-2.050431876,-2.187291848,-7.017662277,-6.493593961,-6.793582794,-8.933819743
60,-0.4534227364,-2.010437385,-2.927370637,-3.574259581,-4.620165743,-5.70245094,-10.61412423,-6.440593814
61,-1.832458271,-2.140182078,-2.636430965,-5.027959458,-7.666983163,-2.470469922,-5.833807083,-9.831899875
62,-2.418309904,-1.332499892,-2.50988945,-1.148764628,-3.01325896,-6.143690693,-3.349577688,-5.707171899
63,-1.94558904,-1.622498443,-2.859906348,-5.038559783,-3.649769539,-6.968844736,-9.662512617,-7.949513596
64,-2.690314287,-2.411024966,-5.980570513,-4.349792239,-4.108836439,-3.271303099,-5.703567311,-8.46552279
65,-1.168200552,-2.919627748,-3.576385793,-5.166664341,-4.754115604,-4.547884755,-7.83189593,-3.805899634
66,-2.91223721,-2.294044422,-4.094096794,-4.057065725,-4.285915118,-7.948511686,-6.327642576,-6.674647029
67,-1.440735504,-3.870410519,-1.880459062,-4.755728567,-2.570062482,-6.163135726,-8.368162168,-9.749168801
68,-1.558868826,-1.588953375,-3.973220731,-3.680929808,-4.644331923,-6.266615683,-7.004101321,-7.620591013
69,-0.9212186466,-2.906661994,-1.818446279,-2.332639536,-4.936191502,-6.417554939,-4.447588333,-7.049468463
70,-0.8161567122,-2.403044346,-2.83487685,-4.107932002,-5.283411785,-4.472168334,-5.676957885,-4.409744121
71,-0.3021925273,-1.868006824,-3.523176508,-3.743279778,-8.620328675,-8.226686949,-3.872640759,-5.665332673
72,-3.284214561,-4.507883863,-2.98082319,-3.967585726,-6.428677926,-7.026099306,-3.328711969,-8.512348747
73,-0.9035184978,-1.035278587,-5.706027969,-4.776533221,-2.526764085,-4.641859616,-9.723946634,-8.515217471
